Name;Rechtsform;Strasse;PLZ;Ort;Bundesland;Telefon;Email;Website;MastrNummer;TAB_Niederspannung_Link;TAB_Typ;TAB_Stand;TAB_Ergaenzung_Link;Anmeldeportal;Planauskunft_Link;Link_geprueft;Link_Status;Quelle;Recherche_Datum;Anmerkung
Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen eG;eG;Lindenstraße 14;83620;Feldkirchen-Westerham;BY;08062-6205;info@ewg-vagen.de;https://www.ewg-vagen.de;SNB985979481190;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB985979481190)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Feuchter Gemeindewerke GmbH (FGW);GmbH;Unterer Zeidlerweg 1;90537;Feucht;BY;+499128 99140;fgw@feucht-gw.de;https://www.feucht-gw.de;SNB944723161733;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB944723161733)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Gemeindewerke Schwarzenbruck GmbH (GWS);GmbH;Unterer Zeidlerweg 1;90537;Feucht;BY;+499128 9914300;fgw@feucht-gw.de;https://www.feucht-gw.de;SNB944419421783;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB944419421783)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Stadtwerke Feuchtwangen;Eigenbetrieb;Ansbacher Straße 29;91555;Feuchtwangen;BY;09852/904-362;daniel.reimer@stadtwerke-feuchtwangen.de;https://www.stadtwerke-feuchtwangen.de;SNB921471558077;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB921471558077)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website, Rechtsform | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Stadtwerke Forchheim GmbH;GmbH;Haidfeldstraße 8;91301;Forchheim;BY;09191 613 0;n/a - nicht gefunden;https://www.stadtwerke-forchheim.de;SNB996457394093;n/a - Download-Center vorhanden, Direktlink nicht extrahiert;Unbekannt;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.stadtwerke-forchheim.de/impressum/ | https://www.stadtwerke-forchheim.de/service-kontakt/download-center/; MaStR Gesamtdatenexport 2026-09-18 (SNB996457394093)";2026-09-18;MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Markt Frammersbach;Kommune (Gebietskörperschaft);Marktplatz 3;97833;Frammersbach;BY;09355 9712-15;dominik.zachrau@frammersbach.de;https://www.frammersbach.de;SNB947727983103;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB947727983103)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | Match unsicher (fuzzy_ort, score=83) | TAB/Portal: Website-Recherche noetig
Rupert Buchauer E-Werk & Elektrotechnik;n/a;n/a;n/a;Frasdorf;BY;n/a;n/a;n/a;n/a;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf;2026-09-18;"Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | Kein sicherer MaStR-Match; TAB/Portal ggf. Website-Recherche | TAB/Portal: Website-Recherche noetig"
Freisinger Stadtwerke Versorgungs-GmbH;GmbH;Wippenhauser Straße 19;85354;Freising;BY;08161/183-0;n/a - auf Website verschlüsselt dargestellt;https://www.freisinger-stadtwerke.de;SNB977384143473;n/a - Netzanschlussportal vorhanden, Direktlink zur TAB nicht gefunden;Unbekannt;n/a;n/a;Netzanschlussportal - https://www.freisinger-stadtwerke.de/de/Netze/Stromnetz/Netzanschlussportal/;n/a;n/a;n/a;"https://www.freisinger-stadtwerke.de/de/Home/Impressum/; MaStR Gesamtdatenexport 2026-09-18 (SNB977384143473)";2026-09-18;MaStR-Rollen: Anschlussnetzbetreiber, Messstellenbetreiber | TAB/Portal: Website-Recherche noetig
Stadtwerke Furth im Wald GmbH & Co. KG;GmbH & Co. KG;Konrad-Utz-Straße 10;93437;Furth im Wald;BY;09973/843029;j.pirzl@stadtwerke-furth.de;https://www.stadtwerke-furth.de;SNB914668240749;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB914668240749)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Stadtwerke Fürstenfeldbruck GmbH;GmbH;Cerveteristraße 2;82256;Fürstenfeldbruck;BY;08141/401-0;Marktstammdatenregister@stadtwerke-ffb.de;https://www.stadtwerke-ffb.de;SNB985701689504;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB985701689504)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber, Bilanzkreisverantwortlicher, Messstellenbetreiber | TAB/Portal: Website-Recherche noetig
Netz & Energie Betriebsgesellschaft mbH;GmbH;Gleißhammerstraße 135;90480;Fürth;BY;091154447392;peter.listl@netz-energie.com;https://www.netz-energie.com;SNB982034089728;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB982034089728)";2026-09-18;[Zusammengeführt aus 3 Regions-Treffern] Eintrag stammt aus Sonderkategorie 'h. Regulierungskammer' der offiziellen Liste - moeglicherweise Betreiber eines geschlossenen Verteilernetzes/Arealnetzes (z.B. Flughafen, Gewerbepark, Einkaufszentrum) statt eines allgemeinen oeffentlichen Niederspannungsnetzes fuer Endkunden, vor Nutzung pruefen. Adresse/Telefon/Email/Website/TAB-Link nicht individuell verifiziert. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
infra fürth gmbh;GmbH;Leyher Straße 69;90763;Fürth;BY;0911 9704-4000;service@infra-fuerth.de;https://www.infra-fuerth.de;SNB911960309587;https://www.infra-fuerth.de/fileadmin/pdf/leistungen/Hausanschluss_Netzanschlussbedingungen/Hausanschluss_Strom/Technische_Anschlussbedingungen_der_infra_fuerth_gmbh.pdf;Unbekannt;"n/a - Datum im Dateinamen nicht erkennbar, könnte älter sein (verwandtes Gas-Dokument datiert ""in Kraft getreten 2005"")";n/a;n/a;n/a;n/a;n/a;"https://www.infra-fuerth.de/privatkunden/meta/impressum; MaStR Gesamtdatenexport 2026-09-18 (SNB911960309587)";2026-09-18;TAB-PDF-Aktualität nicht sicher bestätigt - vor Verwendung auf infra-fuerth.de/privatkunden/infothek/downloads/pdf-downloads prüfen. | MaStR-Rollen: Anschlussnetzbetreiber, Messstellenbetreiber | TAB/Portal: Website-Recherche noetig
Elektrizitätswerke Reutte GmbH & Co. KG;GmbH & Co. KG;Lechhalde 1 1/2;87629;Füssen;BY;+49(0)8362 909 0;netzbayern@ewr.at;https://www.ewr-energie.com;SNB969483935394;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB969483935394)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Gemeindewerke Gangkofen;Eigenbetrieb;Marktplatz 21/23;84140;Gangkofen;BY;08722949417;gemeindewerke@gangkofen.de;https://www.gangkofen.de;SNB954239007623;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB954239007623)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website, Rechtsform | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Gemeindewerke Garmisch-Partenkirchen, KU;Kommunalunternehmen (KU);Adlerstraße 25;82467;Garmisch-Partenkirchen;BY;08821/753-0;info@gw-gap.de;https://www.gw-gap.de;SNB926937565941;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB926937565941)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Energieversorgung Gemünden GmbH;GmbH;Schulstraße 5;97737;Gemünden a. Main;BY;09351 941610;info@energieversorgung-gemuenden.de;https://www.evg-gemuenden.de;SNB943915605062;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB943915605062)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | Match unsicher (fuzzy, score=94) | TAB/Portal: Website-Recherche noetig
Gemeindewerke Georgensgmünd;Sonstige;Bahnhofstraße 4;91166;Georgensgmünd;BY;0917270354;gemeindewerke@georgensgmuend.de;https://www.gemeindewerke-georgensgmuend.de;SNB966216072913;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB966216072913)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website, Rechtsform | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
IGS Netze GmbH;GmbH;Ludwig-Hermann-Straße 100;86368;Gersthofen;BY;08214792568;edm.strom@igs-netze.de;https://www.igs-netze.de;SNB974319144116;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB974319144116)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Gemeinde Glattbach;Kommune (Gebietskörperschaft);Schulstraße 17;63864;Glattbach;BY;06021/349132;verbrauchsgebuehren@glattbach.bayern.de;https://www.glattbach.de;SNB968325295962;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB968325295962)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber, Messstellenbetreiber | TAB/Portal: Website-Recherche noetig
Elektrizitätsversorgung (EVU) der Gemeinde Gochsheim;Körperschaft des öffentlichen Rechts;Am Plan 4-6;97469;Gochsheim;BY;09721 6444-26;evu@gochsheim.de;https://www.evu.gochsheim.de;SNB989583209836;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB989583209836)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website, Rechtsform | MaStR-Rollen: Anschlussnetzbetreiber, Messstellenbetreiber | Match unsicher (fuzzy, score=89) | TAB/Portal: Website-Recherche noetig
Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG;GmbH & Co. KG;Aschaffstraße 1;63773;Goldbach;BY;06021/33470;netz@ew-goldbach-hoesbach.de;https://www.ew-goldbach-hoesbach.de;SNB965998184692;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB965998184692)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber, Messstellenbetreiber | TAB/Portal: Website-Recherche noetig
Rothmoser GmbH & Co. KG;GmbH & Co. KG;Am Urtelbach 4;85567;Grafing;BY;08092-700416;florian.rothmoser@rothmoser.de;https://www.rothmoser.de;SNB976863966633;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB976863966633)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Raiffeisenbank Altmühl-Jura eG;eG;Marktplatz 9;91171;Greding;BY;08463900900;info@stromversorgung-greding.de;https://www.stromversorgung-greding.de;SNB966494112844;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB966494112844)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Industrie Handels Park Nord;n/a;n/a;n/a;Großostheim;BY;n/a;n/a;n/a;n/a;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf;2026-09-18;"Eintrag stammt aus Sonderkategorie 'h. Regulierungskammer' der offiziellen Liste - moeglicherweise Betreiber eines geschlossenen Verteilernetzes/Arealnetzes (z.B. Flughafen, Gewerbepark, Einkaufszentrum) statt eines allgemeinen oeffentlichen Niederspannungsnetzes fuer Endkunden, vor Nutzung pruefen. Adresse/Telefon/Email/Website/TAB-Link nicht individuell verifiziert. | Kein sicherer MaStR-Match; TAB/Portal ggf. Website-Recherche | TAB/Portal: Website-Recherche noetig"
Industrie Handels Park Süd;n/a;n/a;n/a;Großostheim;BY;n/a;n/a;n/a;n/a;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf;2026-09-18;"Eintrag stammt aus Sonderkategorie 'h. Regulierungskammer' der offiziellen Liste - moeglicherweise Betreiber eines geschlossenen Verteilernetzes/Arealnetzes (z.B. Flughafen, Gewerbepark, Einkaufszentrum) statt eines allgemeinen oeffentlichen Niederspannungsnetzes fuer Endkunden, vor Nutzung pruefen. Adresse/Telefon/Email/Website/TAB-Link nicht individuell verifiziert. | Kein sicherer MaStR-Match; TAB/Portal ggf. Website-Recherche | TAB/Portal: Website-Recherche noetig"
Stadtwerke Gunzenhausen Gesellschaft mit beschränkter Haftung;GmbH;Nürnberger Straße 19/21;91710;Gunzenhausen;BY;0983180040;netz@swg-gun.de;https://www.swg-gun.de;SNB953794435957;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB953794435957)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber, Messstellenbetreiber | TAB/Portal: Website-Recherche noetig
SVH Stromversorgung Haar GmbH;GmbH;Blumenstraße 3;85540;Haar;BY;+49 (089) 45699160;info@haar24.com;https://www.Haar24.com;SNB983964953738;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB983964953738)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
